timestamp,session,sap_order_id,city,spi,csv_rate,submit_ms,status,message
2026-09-14T18:00:00.060Z,s1,9000000002,PUNE - STO,(any),999,23,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:00:00.103Z,s1,9000000001,MUMBAI,1164,1234,20,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:01:00.122Z,s1,9000000002,PUNE - STO,(any),999,20,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:01:00.165Z,s1,9000000001,MUMBAI,1164,1234,21,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:03:23.989Z,s1,9000000002,PUNE - STO,(any),999,21,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:03:24.032Z,s1,9000000001,MUMBAI,1164,1234,21,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:03:58.629Z,s1,9000000002,PUNE - STO,(any),999,22,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:03:58.671Z,s1,9000000001,MUMBAI,1164,1234,21,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:06:08.167Z,s1,9000000002,PUNE - STO,(any),999,21,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:06:08.212Z,s1,9000000001,MUMBAI,1164,1234,22,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:06:58.571Z,s1,9000000002,PUNE - STO,(any),999,21,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:06:58.614Z,s1,9000000001,MUMBAI,1164,1234,21,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:07:13.222Z,s2,9000000002,PUNE - STO,(any),999,23,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:07:13.277Z,s1,9000000001,MUMBAI,1164,1234,22,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:09:12.537Z,s2,9000000001,MUMBAI,1164,1234,65,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:09:13.175Z,s1,9000000002,PUNE - STO,(any),999,23,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:09:13.218Z,s1,9000000001,MUMBAI,1164,1234,21,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:09:59.363Z,s2,9000000002,PUNE - STO,(any),999,21,REJECTED_GHOST,"ghost markers, attempt 1/3"
2026-09-14T18:09:59.373Z,s2,9000000002,PUNE - STO,(any),999,20,REJECTED_GHOST,"ghost markers, attempt 1/3"
2026-09-14T18:09:59.733Z,s2,9000000002,PUNE - STO,(any),999,22,REJECTED_GHOST,"ghost markers, attempt 2/3"
2026-09-14T18:10:00.048Z,s2,9000000002,PUNE - STO,(any),999,21,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:10:00.091Z,s2,9000000001,MUMBAI,1164,1234,21,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:11:58.567Z,s1,9000000002,PUNE - STO,(any),999,23,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:11:58.614Z,s1,9000000001,MUMBAI,1164,1234,23,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:12:58.562Z,s1,9000000002,PUNE - STO,(any),999,23,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:12:58.606Z,s1,9000000001,MUMBAI,1164,1234,22,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:13:59.355Z,s2,9000000002,PUNE - STO,(any),999,21,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:13:59.360Z,s1,9000000002,PUNE - STO,(any),999,22,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:14:59.345Z,s2,9000000002,PUNE - STO,(any),999,22,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:14:59.389Z,s1,9000000001,MUMBAI,1164,1234,21,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:19:58.562Z,s1,9000000002,PUNE - STO,(any),999,22,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:19:58.606Z,s1,9000000001,MUMBAI,1164,1234,21,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:20:58.555Z,s1,9000000002,PUNE - STO,(any),999,21,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:20:58.597Z,s1,9000000001,MUMBAI,1164,1234,21,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:21:22.427Z,s1,9000000002,PUNE - STO,(any),999,22,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:21:22.677Z,s1,9000000001,MUMBAI,1164,1234,22,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:21:59.352Z,s2,9000000002,PUNE - STO,(any),999,20,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:21:59.458Z,s1,9000000001,MUMBAI,1164,1234,23,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:25:25.886Z,s1,9000000002,PUNE - STO,(any),999,22,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:25:25.929Z,s1,9000000001,MUMBAI,1164,1234,21,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:25:59.345Z,s2,9000000002,PUNE - STO,(any),999,21,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:25:59.388Z,s1,9000000001,MUMBAI,1164,1234,20,ACCEPTED,rank=1 L1=1234.000 | Bidding Amount Saved Successfully.
2026-09-14T18:27:59.363Z,s2,9000000002,PUNE - STO,(any),999,21,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:28:59.358Z,s1,9000000002,PUNE - STO,(any),999,21,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
2026-09-14T18:30:58.588Z,s1,9000000002,PUNE - STO,(any),999,21,ACCEPTED,rank=1 L1=999.000 | Bidding Amount Saved Successfully.
